0	5.0
0	5.0
0	5.0
0	5.0
0	5.0
-1	7.0
4	5.0
4	5.0
-1	7.0
6	5.0
-1	7.0
0	5.0
0	5.0
-1	7.0
4	5.0
4	5.0
4	5.0
4	5.0
4	5.0
4	5.0
-1	7.0
2	5.0
2	5.0
2	5.0
2	5.0
-1	7.0
4	5.0
4	5.0
4	5.0
4	5.0
-1	7.0
0	5.0
0	5.0
0	5.0
0	5.0
0	5.0
0	5.0
-1	7.0
5	5.0
5	5.0
5	5.0
5	5.0
-1	7.0
6	5.0
6	5.0
6	5.0
6	5.0
-1	7.0
0	5.0
0	5.0
0	5.0
0	5.0
-1	7.0
4	5.0
4	5.0
4	5.0
4	5.0
-1	7.0
0	5.0
0	5.0
0	5.0
0	5.0
0	5.0
-1	7.0
4	5.0
4	5.0
4	5.0
4	5.0
-1	7.0
3	5.0
-1	7.0
5	5.0
5	5.0
5	5.0
5	5.0
5	5.0
-1	7.0
6	5.0
6	5.0
6	5.0
6	5.0
-1	7.0
0	5.0
0	5.0
0	5.0
0	5.0
-1	7.0
4	5.0
4	5.0
4	5.0
4	5.0
-1	7.0
3	5.0
-1	7.0
5	5.0
